model,eval,rung,train,method,family,prr_mean,prr_std,n_seeds,degenerate_seeds,source,method_cells,complete_grid
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,SameTask-long,med_quad:900+asqa:900,VERDICT:bestw_vs_bestpooler,verdict,-0.2349,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,SameTask-long,med_quad:900+asqa:900,VERDICT:attention_vs_fairfloor,verdict,-0.2088,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,floor_sum,reference baseline,0.2018,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,floor_ppl,reference baseline,-0.1736,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,floor_min,reference baseline,0.371,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,fair_floor,reference baseline,0.371,0.0,0,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,saplma,reference baseline,0.191,0.0159,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,uniform,this project,0.1703,0.0646,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,attention,this project,0.2049,0.0699,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_norm,this project,0.2338,0.0359,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_seg_flat,this project,-0.0688,0.0976,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_seg_softmax,this project,-0.017,0.0093,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_shrink1_5,this project,0.2612,0.0423,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_shrink2,this project,0.2456,0.0651,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_shrink10,this project,0.0348,0.0448,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_blondel,this project,0.2586,0.0337,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_shrink2_blondel,this project,-0.1281,0.0128,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_shrink10_blondel,this project,-0.1646,0.0017,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,ptrue,reference baseline,0.2739,0.0352,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,lookback,reference baseline,-0.2779,0.0626,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,VERDICT:bestw_vs_fairfloor,verdict,-0.0343,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,VERDICT:bestw_vs_bestpooler,verdict,0.1088,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,pubmed_qa,LOO-long,xsum:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,VERDICT:attention_vs_fairfloor,verdict,-0.1431,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,floor_sum,reference baseline,-0.2049,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,floor_ppl,reference baseline,-0.1719,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,floor_min,reference baseline,-0.0149,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,fair_floor,reference baseline,-0.0149,0.0,0,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,saplma,reference baseline,0.1695,0.0217,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,uniform,this project,0.0964,0.0271,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,attention,this project,0.1612,0.034,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,wmsp_norm,this project,-0.1008,0.0413,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,wmsp_seg_flat,this project,-0.157,0.0175,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,wmsp_seg_softmax,this project,-0.1618,0.0082,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,wmsp_shrink1_5,this project,-0.0785,0.0568,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,wmsp_shrink2,this project,-0.0808,0.0487,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,wmsp_shrink10,this project,-0.1085,0.0339,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,wmsp_blondel,this project,-0.0839,0.0013,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,wmsp_shrink2_blondel,this project,-0.1616,0.0029,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,wmsp_shrink10_blondel,this project,-0.1735,0.0008,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,ptrue,reference baseline,0.0655,0.04,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,lookback,reference baseline,-0.1147,0.017,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,VERDICT:bestw_vs_fairfloor,verdict,-0.0589,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,VERDICT:bestw_vs_bestpooler,verdict,-0.2425,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,VERDICT:attention_vs_fairfloor,verdict,0.1836,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,floor_sum,reference baseline,-0.2049,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,floor_ppl,reference baseline,-0.1719,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,floor_min,reference baseline,-0.0149,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,fair_floor,reference baseline,-0.0149,0.0,0,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,saplma,reference baseline,0.2841,0.0255,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,uniform,this project,0.2564,0.0203,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,attention,this project,0.3168,0.022,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_norm,this project,0.1422,0.0238,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_seg_flat,this project,-0.1691,0.0012,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_seg_softmax,this project,-0.1632,0.0101,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_shrink1_5,this project,0.1138,0.0173,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_shrink2,this project,0.0962,0.0259,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_shrink10,this project,-0.05,0.0157,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_blondel,this project,0.1872,0.023,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_shrink2_blondel,this project,-0.1456,0.0037,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_shrink10_blondel,this project,-0.1702,0.0015,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,ptrue,reference baseline,0.149,0.0129,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,lookback,reference baseline,0.0197,0.0275,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,VERDICT:bestw_vs_fairfloor,verdict,0.2389,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,VERDICT:bestw_vs_bestpooler,verdict,-0.1078,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,xsum,LOO-long,pubmed_qa:257+cnn_dailymail:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,VERDICT:attention_vs_fairfloor,verdict,0.3466,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,floor_sum,reference baseline,-0.0848,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,floor_ppl,reference baseline,0.4096,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,floor_min,reference baseline,0.1198,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,fair_floor,reference baseline,0.1198,0.0,0,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,saplma,reference baseline,0.0188,0.0561,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,uniform,this project,-0.0317,0.0345,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,attention,this project,-0.0463,0.0372,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,wmsp_norm,this project,0.1321,0.0528,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,wmsp_seg_flat,this project,0.3362,0.0255,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,wmsp_seg_softmax,this project,0.2506,0.04,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,wmsp_shrink1_5,this project,0.2637,0.0215,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,wmsp_shrink2,this project,0.3066,0.0264,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,wmsp_shrink10,this project,0.3889,0.0306,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,wmsp_blondel,this project,0.1255,0.0264,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,wmsp_shrink2_blondel,this project,0.4075,0.0064,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,wmsp_shrink10_blondel,this project,0.4029,0.0024,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,ptrue,reference baseline,-0.1367,0.0805,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,lookback,reference baseline,0.3154,0.0707,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,VERDICT:bestw_vs_fairfloor,verdict,0.2879,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,VERDICT:bestw_vs_bestpooler,verdict,0.4424,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,DiffTask-long,pubmed_qa:360+med_quad:360+expertqa:360+asqa:360+factscore:360,VERDICT:attention_vs_fairfloor,verdict,-0.1666,,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,LOO-long,pubmed_qa:257+xsum:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,floor_sum,reference baseline,-0.0848,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,LOO-long,pubmed_qa:257+xsum:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,floor_ppl,reference baseline,0.4096,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,LOO-long,pubmed_qa:257+xsum:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,floor_min,reference baseline,0.1198,0.0,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,LOO-long,pubmed_qa:257+xsum:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,fair_floor,reference baseline,0.1198,0.0,0,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,LOO-long,pubmed_qa:257+xsum:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,saplma,reference baseline,0.107,0.0531,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,LOO-long,pubmed_qa:257+xsum:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,uniform,this project,0.1043,0.0332,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,LOO-long,pubmed_qa:257+xsum:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,attention,this project,0.198,0.0572,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,LOO-long,pubmed_qa:257+xsum:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_norm,this project,0.1296,0.0203,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,LOO-long,pubmed_qa:257+xsum:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_seg_flat,this project,0.2143,0.0367,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,LOO-long,pubmed_qa:257+xsum:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_seg_softmax,this project,0.1903,0.0431,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,LOO-long,pubmed_qa:257+xsum:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_shrink1_5,this project,0.3197,0.0134,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,LOO-long,pubmed_qa:257+xsum:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_shrink2,this project,0.3538,0.0108,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,LOO-long,pubmed_qa:257+xsum:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_shrink10,this project,0.4657,0.0063,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,LOO-long,pubmed_qa:257+xsum:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_blondel,this project,0.1723,0.0087,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,LOO-long,pubmed_qa:257+xsum:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_shrink2_blondel,this project,0.4441,0.0004,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,LOO-long,pubmed_qa:257+xsum:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,wmsp_shrink10_blondel,this project,0.4127,0.0005,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,LOO-long,pubmed_qa:257+xsum:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,ptrue,reference baseline,0.0915,0.0074,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,LOO-long,pubmed_qa:257+xsum:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,lookback,reference baseline,0.4435,0.0151,3,,corrected-span master,40,yes
meta-llama/Meta-Llama-3.1-8B,cnn_dailymail,LOO-long,pubmed_qa:257+xsum:257+med_quad:257+samsum:257+expertqa:257+asqa:257+factscore:257,VERDICT:bestw_vs_fairfloor,verdict,0.3576,,3,,corrected-span master,40,yes
